coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
32382032,,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",,,,,,,urn:uuid:5c3ae077-4e61-4001-a8a9-cb4d2bab2301,"2024-03-29 10:59:43"
8623497,"Originally named Pectocarya linearis, annotated to Pectocary",s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",,,,,,,urn:uuid:ec14f1de-0d68-4f11-b677-f8e43fd5c346,"2023-06-27 13:24:24"
8623497,"Originally named Pectocarya linearis, annotated to Pectocarya recurvata by DJK in 2014",s.d.,,"Pectocarya recurvata",1,"I. M.Johnston",Pectocarya,recurvata,,,,,urn:uuid:26e5f538-b120-4af6-b208-7242d85d1d57,"2023-07-16 05:07:11"
16512557,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnst.",Pectocarya,recurvata,,,,,urn:uuid:caacb893-8652-404b-bf1e-39889ddd7580,"2023-07-16 05:07:11"
16512563,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnst.",Pectocarya,recurvata,,,,,urn:uuid:bfeec6a4-bb67-445e-a3fd-2ab8507611f5,"2023-07-16 05:07:11"
16512564,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnst.",Pectocarya,recurvata,,,,,urn:uuid:9e6f89be-4ef4-418f-85f1-c01abee06857,"2023-07-16 05:07:11"
22196616,"J. F. Wiens",s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:e6e5bd74-ad9c-4d89-8f43-4b9353b29ca1,"2023-07-16 05:07:11"
28831548,"Barbara Veno, 1983",s.d.,,"Pectocarya recurvata",1,"I. M.Johnston",,,,,,,urn:uuid:b2419752-1db5-4a47-bf5d-e7a580934a71,"2023-06-19 13:57:28"
29434537,unknown,s.d.,,"Pectocarya recurvata",1,"I. M.Johnston",,,,,,,urn:uuid:c54a415a-373d-4d8b-8b27-4e3af45ffec0,"2022-12-28 16:17:54"
31112842,"Mariah Stover",2023,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:fe206cb3-07ae-4d65-8021-845ad1638b3e,"2023-07-16 05:07:11"
