"","sample","C_percent","N_percent","C.N","N_isotope_raw","C_isotope_raw","WUE","precision","plant_ID","combined_weight","mean_sla"
"97",97,34.8,2.9,11.9,8,-28.7,21.31164419,NA,"HL19",3.183,14.4315595033333
"98",98,34.6,2.5,14.1,2.2,-29.4,22.0482176,NA,"HL22",3.35,14.0737073833333
"99",99,36.2,3.1,11.6,6,-26.1,18.58507034,NA,"HL26",3.944,11.9144766466667
"100",100,41.7,3.5,11.9,8.2,-26.1,18.58507034,NA,"HL27",4.108,15.1276998966667
"101",101,35.5,2.5,14,8.5,-27.7,20.26123624,NA,"HL30",4.371,13.5669403566667
"102",102,37.1,3.3,11.1,20.6,-27.9,20.47114494,NA,"WU2",4.816,16.3712854833333
"103",103,36.2,3.8,9.6,17.8,-28.3,20.89122157,NA,"WU4",4.68,15.2805050166667
"104",104,37.7,3.2,12,7.1,-30,22.68041237,NA,"WU6",4.888,17.8670850833333
"105",105,36.5,2.4,15.3,3.1,-29.6,22.25886232,NA,"WU8",3.92,18.4987113766667
"106",106,36.2,2.8,13.2,2.5,-28.6,21.20650607,NA,"WU10",5.585,12.86832934
"107",107,36.5,3.3,10.9,3.2,-31.2,23.94715111,NA,"WU14",4.008,20.6462856633333
"108",108,36.8,3.3,11.2,4.4,-29.5,22.15352911,NA,"WU16",4.163,15.4707525333333
"109",109,37.1,3.4,10.8,8.4,-29.9,22.57499227,NA,"WU18",4.995,13.3837242533333
"110",110,37.1,2.9,12.9,7.5,-29.9,22.57499227,NA,"WU21",3.819,16.01434461
"111",111,35.9,1.7,20.8,9,-30.5,23.20783909,NA,"WU24",4.723,11.421577901
"112",112,37,3.9,9.6,8.8,-28.2,20.78616999,NA,"WU27",4.866,16.54643697
"113",113,35.3,2.3,15.1,7,-28.8,21.41680395,NA,"WU30",4.924,12.1898856633333
"114",114,38.1,4.1,9.3,3.9,-29.3,21.94292778,NA,"SD1",5.319,15.05137741
"115",115,35.8,3.5,10.3,3.5,-29.8,22.4695939,NA,"SD4",4.974,13.1791903
"116",116,20.1,1.5,13.5,7.3,-28.4,20.99629477,NA,"SD7",4.042,13.12282989
"117",117,34,2.6,13,5.9,-28.6,21.20650607,NA,"SD10",4.432,11.6732060233333
"118",118,34.9,1.6,21.7,3.3,-29.5,22.15352911,NA,"SD13",4.647,11.34959819
"119",119,38.6,3.9,9.9,2.1,-28.5,21.1013896,NA,"SD16",4.961,15.45567889
"120",120,37.3,2.3,16.1,2.2,-27.9,20.47114494,NA,"SD17",3.817,11.61913234
"121",121,36.2,3.1,11.7,2.7,-28.1,20.68114003,NA,"SD19",5.429,11.1563517166667
"122",122,35.8,2.7,13.1,3.7,-28.7,21.31164419,NA,"SD22",5.088,11.44476709
"123",123,36.7,1.9,19,4.5,-29.4,22.0482176,NA,"SD25",4.182,12.98240995
"124",124,36,3.4,10.7,4.2,-30.1,22.78585421,NA,"SD28",4.213,17.1569932366667
"125",125,36.5,3.6,10.2,2.4,-29.4,22.0482176,NA,"SD30",3.955,18.0000979966667
