gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4080939655	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153495870	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.26975	-117.429215							2023-04-02T11:48	2	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153495870		Steve Matson	2023-04-04T21:59:08	CC_BY_4_0	Steve Matson	Steve Matson			2024-11-02T16:13:09.585Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4080927832	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153677969	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.93185	-110.32312	4.0						2023-03-21T15:28:17	21	3	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153677969		CK Kelly	2023-04-06T12:41:54	CC_BY_4_0	CK Kelly	CK Kelly			2024-11-02T15:42:22.424Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076416517	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153079895	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.850298	-116.201343							2023-03-31T10:40	31	3	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153079895		Millie Basden	2023-04-01T19:26:46	CC_BY_4_0	Millie Basden	Millie Basden			2024-11-02T15:38:10.526Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076324578	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/152326988	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.977897	-116.2771	5.0						2023-03-25T18:40:06	25	3	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	152326988		mialeigh	2023-03-26T03:03:32	CC_BY_NC_4_0	mialeigh	mialeigh			2024-11-02T15:39:22.502Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076319667	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/152424840	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.121567	-116.239472	4.0						2023-03-18T12:28:33	18	3	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	152424840		Avery Hansen	2023-03-26T21:32:34	CC_BY_NC_4_0	Avery Hansen	Avery Hansen			2024-11-02T16:10:03.139Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076313356	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/152187718	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.696572	-116.344133							2023-03-24T11:23	24	3	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	152187718		Pete Schwartz	2023-03-24T23:59:35	CC0_1_0	Pete Schwartz	Pete Schwartz			2024-11-02T16:18:53.099Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076281600	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/107926709	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.912097	-116.588121	15.0						2022-03-04T11:24:40	4	3	2022	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	107926709		Rod	2022-03-05T03:07:05	CC0_1_0	Rod	Rod			2024-11-02T15:32:48.265Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076274590	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/115033961	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.214067	-116.94545	65.0						2022-03-06T10:20:39	6	3	2022	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	115033961		Matt Reala	2022-05-03T04:14:03	CC_BY_NC_4_0	Matt Reala	Matt Reala			2024-11-02T15:35:43.618Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076262978	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/151673137	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.276814	-116.42749							2023-03-14T14:17:04	14	3	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	151673137		Tom Chester	2023-03-21T18:35:38	CC_BY_NC_4_0	Sarah Wang	Sarah Wang			2024-11-02T16:16:19.308Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076257582	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/107990433	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.335963	-116.406153							2022-03-05T09:35	5	3	2022	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	107990433		Fred Melgert / Carla Hoegen	2022-03-06T00:42:23	CC_BY_NC_4_0	Fred Melgert / Carla Hoegen	Fred Melgert / Carla Hoegen			2024-11-02T16:03:17.471Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076241559	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/109097889	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.992746	-116.299768	29039.0						2022-03-19T11:08	19	3	2022	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	109097889		u_phantasticus	2022-03-20T23:36:42	CC_BY_NC_4_0	u_phantasticus	u_phantasticus			2024-11-02T16:03:07.643Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4076200646	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153274202	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.23792	-117.410645	4.0						2023-04-01T08:47:56	1	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153274202		Jim Morefield	2023-04-03T03:36:37	CC_BY_4_0	Steve Matson	Steve Matson			2024-11-02T15:41:47.463Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
